revised_movement_label,count,percentage,color,plot_order,gender,ExperimentTime,LightingCondition
running,15262,0.009421162120286179,#FF3030,0,male,Morning,lightOn
trotting,45455,0.02805916158941215,#E15E8A,1,male,Morning,lightOn
left_turning,90023,0.05557078217497855,#F6BBC6,2,male,Morning,lightOn
right_turning,41084,0.025360963474632247,#F8C8BA,3,male,Morning,lightOn
walking,200864,0.12399241961270888,#EB6148,4,male,Morning,lightOn
stepping,51560,0.03182774989660302,#C6823F,5,male,Morning,lightOn
sniffing,516433,0.3187917060192473,#2E8BBE,6,male,Morning,lightOn
rising,147804,0.09123872664308598,#84CDD9,7,male,Morning,lightOn
hunching,35786,0.022090532540726064,#D4DF75,8,male,Morning,lightOn
rearing,87952,0.054292363438829115,#88AF26,9,male,Morning,lightOn
climbing,219937,0.13576609443384755,#2E7939,10,male,Morning,lightOn
jumping,5876,0.0036272276647098404,#24B395,11,male,Morning,lightOn
grooming,122867,0.07584523170182164,#973C8D,12,male,Morning,lightOn
pausing,39067,0.024115878689111525,#B0BEC5,14,male,Morning,lightOn
running,8574,0.004961805555555555,#FF3030,0,male,Stress,info
trotting,23523,0.013612847222222222,#E15E8A,1,male,Stress,info
left_turning,47585,0.02753761574074074,#F6BBC6,2,male,Stress,info
right_turning,16432,0.009509259259259259,#F8C8BA,3,male,Stress,info
walking,110995,0.0642332175925926,#EB6148,4,male,Stress,info
stepping,109828,0.06355787037037038,#C6823F,5,male,Stress,info
sniffing,262925,0.15215567129629629,#2E8BBE,6,male,Stress,info
rising,104272,0.060342592592592594,#84CDD9,7,male,Stress,info
hunching,64711,0.03744849537037037,#D4DF75,8,male,Stress,info
rearing,157781,0.09130844907407408,#88AF26,9,male,Stress,info
climbing,77278,0.04472106481481482,#2E7939,10,male,Stress,info
jumping,657,0.0003802083333333333,#24B395,11,male,Stress,info
grooming,724618,0.41933912037037036,#973C8D,12,male,Stress,info
scratching,17763,0.010279513888888888,#EADA33,13,male,Stress,info
pausing,1058,0.0006122685185185185,#B0BEC5,14,male,Stress,info
running,20939,0.012925548003975383,#FF3030,0,female,Morning,lightOn
trotting,59166,0.03652289857219578,#E15E8A,1,female,Morning,lightOn
left_turning,85999,0.05308678555775724,#F6BBC6,2,female,Morning,lightOn
right_turning,37968,0.02343747106427897,#F8C8BA,3,female,Morning,lightOn
walking,195675,0.12078927387544214,#EB6148,4,female,Morning,lightOn
stepping,47480,0.029309184737988974,#C6823F,5,female,Morning,lightOn
sniffing,471383,0.2909825490595505,#2E8BBE,6,female,Morning,lightOn
rising,153037,0.09446903337716131,#84CDD9,7,female,Morning,lightOn
hunching,35723,0.02205164293165923,#D4DF75,8,female,Morning,lightOn
rearing,76200,0.047037908109409436,#88AF26,9,female,Morning,lightOn
climbing,268073,0.1654802249424372,#2E7939,10,female,Morning,lightOn
jumping,3812,0.0023531299962344984,#24B395,11,female,Morning,lightOn
grooming,130377,0.08048112002074112,#973C8D,12,female,Morning,lightOn
pausing,34138,0.02107322975116823,#B0BEC5,14,female,Morning,lightOn
running,24962,0.014445601851851852,#FF3030,0,female,Stress,info
trotting,43768,0.025328703703703704,#E15E8A,1,female,Stress,info
left_turning,61113,0.03536631944444445,#F6BBC6,2,female,Stress,info
right_turning,20080,0.011620370370370371,#F8C8BA,3,female,Stress,info
walking,133244,0.0771087962962963,#EB6148,4,female,Stress,info
stepping,105494,0.06104976851851852,#C6823F,5,female,Stress,info
sniffing,300656,0.17399074074074075,#2E8BBE,6,female,Stress,info
rising,93927,0.05435590277777778,#84CDD9,7,female,Stress,info
hunching,62690,0.036278935185185185,#D4DF75,8,female,Stress,info
rearing,138212,0.0799837962962963,#88AF26,9,female,Stress,info
climbing,95251,0.055122106481481484,#2E7939,10,female,Stress,info
jumping,2213,0.0012806712962962962,#24B395,11,female,Stress,info
grooming,624154,0.3612002314814815,#973C8D,12,female,Stress,info
scratching,16362,0.00946875,#EADA33,13,female,Stress,info
pausing,5874,0.0033993055555555556,#B0BEC5,14,female,Stress,info
