location,movement,r,p
center,running,-0.33925827076263726,3.799565876684207e-11
center,trotting,-0.30064013177438803,5.899432783074784e-09
center,sniffing,0.16708428298325545,0.0014647913695153161
center,rising,0.1781734481882877,0.0006836353608038619
center,hunching,0.3122557739661104,1.3944088240041914e-09
center,rearing,0.21202559227053722,5.011086087548065e-05
center,grooming,0.1695075168112794,0.0012449051488988912
perimeter,running,-0.37477357775537207,1.8962415388290426e-13
perimeter,trotting,-0.5418347231813768,7.408176483134185e-29
perimeter,left_turning,-0.32875261852300053,1.6101577666732878e-10
perimeter,walking,-0.41693168710178596,1.4266219165086094e-16
perimeter,stepping,-0.1565641862039327,0.0028951612280198047
perimeter,rising,0.3058968126717824,3.0954069455862164e-09
perimeter,hunching,0.44509992483200966,6.42171093198726e-19
perimeter,rearing,0.16921350717019792,0.0012698627494428562
perimeter,climbing,0.15290295955487393,0.003635631626522583
perimeter,jumping,0.23251116929784765,8.292726218410482e-06
perimeter,grooming,0.29111137360879147,1.838344312154839e-08
corner,running,-0.2432780067259728,3.009488127808341e-06
corner,trotting,-0.42006864319813375,8.011187183462153e-17
corner,left_turning,-0.4063796143893667,9.512601017089123e-16
corner,right_turning,-0.13499000108849454,0.01034455095965352
corner,walking,-0.4659451466102349,8.415025116846915e-21
corner,stepping,-0.4775361825794499,6.623447023759482e-22
corner,sniffing,-0.3710278881922213,3.4224571169189415e-13
corner,hunching,0.20435158582690435,9.418614155437058e-05
corner,rearing,-0.18695475228766745,0.00036195371788194923
corner,climbing,-0.13434159041402224,0.010720968762918599
corner,jumping,0.2059614019583228,8.266563306060601e-05
