running,trotting,left_turning,right_turning,walking,stepping,sniffing,rising,hunching,rearing,climbing,jumping,grooming,scratching,pausing
465.0,2305.0,7677.0,2576.0,11102.0,3328.0,39206.0,9669.0,2579.0,6508.0,15576.0,0.0,5500.0,0.0,1507.0
125.0,1414.0,8380.0,2643.0,13442.0,3677.0,42132.0,10048.0,1663.0,6258.0,10249.0,0.0,6908.0,0.0,1059.0
112.0,1842.0,8029.0,1835.0,13084.0,3566.0,38831.0,9335.0,2745.0,4073.0,9973.0,120.0,11231.0,0.0,3222.0
285.0,1798.0,4978.0,2784.0,12003.0,2990.0,36975.0,9972.0,2306.0,7782.0,13204.0,0.0,8259.0,0.0,4662.0
986.0,3353.0,6593.0,3114.0,16873.0,5172.0,28277.0,10731.0,2311.0,5950.0,18855.0,151.0,5326.0,0.0,306.0
305.0,2067.0,4142.0,3498.0,13678.0,3655.0,35265.0,9986.0,3408.0,4740.0,19654.0,0.0,6545.0,0.0,1055.0
1421.0,4146.0,6156.0,2072.0,15084.0,3458.0,23815.0,9824.0,2180.0,6046.0,22574.0,616.0,10153.0,0.0,453.0
2421.0,5373.0,4718.0,4260.0,17922.0,3772.0,21362.0,11344.0,1965.0,7112.0,23946.0,295.0,3357.0,0.0,151.0
452.0,3093.0,7611.0,2548.0,15523.0,4715.0,31699.0,9658.0,1754.0,5945.0,15413.0,0.0,8026.0,0.0,1561.0
3050.0,6051.0,8610.0,1933.0,14677.0,3516.0,30033.0,9500.0,1672.0,4021.0,19615.0,548.0,4257.0,0.0,515.0
1118.0,3756.0,4939.0,3357.0,12700.0,3509.0,32775.0,12523.0,3733.0,5782.0,15296.0,712.0,7496.0,0.0,302.0
2394.0,4006.0,4549.0,2628.0,10627.0,2528.0,25260.0,9649.0,2424.0,6136.0,21301.0,1326.0,15019.0,0.0,151.0
1166.0,3755.0,3671.0,3591.0,12809.0,3212.0,32157.0,13365.0,2687.0,4838.0,19800.0,0.0,4690.0,0.0,2257.0
918.0,2745.0,7301.0,2523.0,13498.0,4210.0,31763.0,10050.0,2862.0,7571.0,12995.0,0.0,10957.0,0.0,605.0
1412.0,3972.0,4446.0,1514.0,10641.0,2605.0,30335.0,11965.0,2464.0,6719.0,17055.0,592.0,11867.0,0.0,2411.0
2699.0,5039.0,6628.0,2075.0,15144.0,2678.0,31306.0,8357.0,2259.0,5925.0,18509.0,0.0,5722.0,0.0,1657.0
1647.0,3656.0,7645.0,4969.0,17647.0,4654.0,34848.0,7676.0,1880.0,3152.0,15281.0,441.0,3897.0,0.0,605.0
2708.0,4908.0,4204.0,1261.0,11454.0,1982.0,31086.0,8573.0,2636.0,6787.0,17470.0,0.0,9805.0,0.0,5124.0
224.0,1422.0,4367.0,1924.0,8162.0,2301.0,39801.0,8370.0,1954.0,4282.0,10368.0,0.0,15893.0,0.0,8930.0
1656.0,6043.0,6530.0,3210.0,15654.0,3282.0,30992.0,9630.0,1395.0,5321.0,17901.0,387.0,5092.0,0.0,905.0
1914.0,5927.0,6967.0,2659.0,25722.0,4758.0,15926.0,14292.0,1073.0,7815.0,17781.0,1141.0,2023.0,0.0,0.0
1726.0,3010.0,5822.0,2509.0,9424.0,2453.0,26509.0,11305.0,2495.0,3287.0,17033.0,269.0,19997.0,0.0,2159.0
269.0,2076.0,4695.0,2518.0,9472.0,2924.0,47961.0,7956.0,2022.0,3777.0,9960.0,175.0,7113.0,0.0,7080.0
1847.0,3490.0,5162.0,3335.0,14398.0,4545.0,26737.0,9726.0,3672.0,7684.0,14208.0,2299.0,9541.0,0.0,1354.0
386.0,1354.0,5632.0,1822.0,8946.0,1855.0,38167.0,9276.0,2594.0,7583.0,16257.0,162.0,9300.0,0.0,4664.0
1136.0,4315.0,5372.0,2171.0,12201.0,1785.0,27476.0,10764.0,3103.0,5255.0,19314.0,84.0,13065.0,0.0,1957.0
1097.0,4101.0,6054.0,2711.0,12582.0,3499.0,29971.0,9495.0,3194.0,4375.0,20039.0,0.0,9704.0,0.0,1176.0
212.0,1770.0,3362.0,3340.0,11451.0,4159.0,40185.0,11260.0,3100.0,4237.0,10974.0,0.0,10937.0,0.0,3011.0
1762.0,5704.0,6317.0,1671.0,12461.0,1881.0,37906.0,7880.0,1930.0,2886.0,20296.0,370.0,3711.0,0.0,3223.0
288.0,2130.0,5465.0,2001.0,8158.0,2371.0,49060.0,8662.0,1449.0,2305.0,7113.0,0.0,7853.0,0.0,11143.0
