revised_movement_label,speed,distance,Nose_back_tail_2Dangle,Nose_back_tail_3Dangle,nose_momentum,head_momentum,claw_momentum,nose_height,neck_height,back_height,left_front_claw_height,right_front_claw_height,body_length2D,body_length3D,back_x,back_y,center_rate
sniffing,35.11509615042167,1.170503205014054,-0.30042523653643166,127.17493108197485,3.92920122131615,9.24549996272041,4.913141878939907,20.18122528865068,39.2239195707659,38.653020308699425,8.996057683901963,9.472541035821003,92.71095991209114,94.06205865121743,256.2735508682119,252.22347472226303,250.5328932366587
walking,141.63360339389843,4.721120113129945,1.685538482378655,142.98815089712164,5.297321676958925,12.56925953214057,6.614610787146729,16.617718589316546,34.56576258445374,34.98593465702978,6.449024850570291,7.0414741205091085,100.7753489414147,102.47402081101788,255.20284335592015,253.98349711987555,207.55892022641967
left_turning,89.22448938355254,2.974149646118417,-17.850667448514688,129.1616066294378,5.0125587348803,11.838444344629858,6.209524138515604,14.877125201197774,36.351092340123735,37.91506895539676,6.055239160897507,6.55948168394742,95.58112783946457,96.80775900826578,260.5406024560582,249.37099751899063,225.52612877449843
right_turning,87.93120153305003,2.9310400511016677,26.298004909000635,125.87155209238392,5.831364245446278,13.661235369696461,7.092899916492541,18.173390970798273,38.98763248152557,38.966320814223195,7.956592522142105,8.292467347595982,94.21467583864617,95.79173201074184,254.04900338097107,246.9077871600961,232.50619620911218
stepping,79.9852722545242,2.6661757418174736,5.808121791622012,139.23110105654473,4.624341735868911,10.745949972404548,5.573316374010574,14.794504625006626,33.2771807096514,32.60326982143261,6.533741235007586,7.32416503821391,97.88775786082125,99.02209355691534,255.9469021730322,254.5792156754624,219.8600460362895
rising,36.08384451906727,1.2027948173022425,2.6422357186935366,129.3681022558581,4.708681836966302,10.97994092091284,6.448582306986389,39.95844986788259,50.880997692935615,45.14104128277823,17.712791591141904,18.209414158912203,89.46638686837073,95.32836344874976,254.72034255759328,248.7170080553299,251.1415089641336
trotting,222.48428794915876,7.416142931638626,0.18112820951929018,147.67079356668893,5.5425685923182995,13.450241625741373,7.199755943322989,12.57556993395919,31.424338574302627,33.057575061539026,4.264161383267002,4.846407482401531,103.03572740397063,104.37073645305838,249.5042474961426,254.7271202564794,201.82167917230373
rearing,26.325222003721734,0.8775074001240577,-1.9405953485215592,129.04055515203203,4.955030066434262,11.823203585726581,7.242364951167474,61.13704708056169,64.776009208669,49.33547235049843,36.99385933535503,37.346062002845244,71.70866610374026,90.95307529675243,267.36766404255843,245.2718133163527,239.03767622605355
climbing,41.506692775008204,1.3835564258336073,4.943625605179669,154.86623009400358,5.866819363256024,14.347291454806834,9.90176555411956,100.46955541605398,87.56941329780979,58.98524290310653,69.49106237940661,70.00405578285287,57.503039456863974,103.34593760404357,265.86354822337796,243.886291618149,277.50457192700463
hunching,22.2582234757612,0.7419407825253732,7.427550691025467,122.34322673181308,4.4465634486661765,10.685566114422548,6.2125267751404,51.62510223645871,60.09506043041388,47.59959581369002,31.56139749180216,31.926989354616218,74.11138319918811,87.0134724288166,272.76513493037424,249.6140819805323,240.57798248295578
running,288.38737177647926,9.612912392549305,0.2007414995373694,152.19227602398797,5.908514656057438,14.518060196114728,7.910150731327933,11.947171903960887,29.95150683440912,30.801288007753712,3.96120275571344,4.702394055764851,104.16448485819606,105.44876736025594,257.55475028320495,259.20423631224264,199.0278361148112
grooming,22.776262592165832,0.7592087530721953,-2.6660631227518237,82.1073224991529,4.684204618203442,12.372515160737693,6.902696329709339,30.39678763785587,49.64966627615434,42.698875129925405,24.044931226122316,24.55993585794464,52.670783757525896,59.95786441823269,271.88585296069454,265.4828299107487,248.9488164583499
pausing,14.46494886286395,0.4821649620954648,-0.0939485417678421,119.8390712699441,2.657164665843986,6.751065316299392,3.8677715515020363,10.706556906499575,36.177865689811156,35.031376757458695,4.120080649638852,4.07870444980669,91.5770820959293,92.69764961834267,179.67030550414637,303.8651896382127,287.67882302470025
jumping,69.36855642152194,2.312285214050731,1.7945110046032522,150.80063452483896,11.97965803591711,31.043809429241747,20.504429673845635,90.17593211388731,79.76249035092201,55.29329832385398,58.5873374837923,58.833524717450835,60.96433044506871,101.60304295735108,327.46131413300924,268.69478379525816,279.90696342992885
scratching,22.367014628523975,0.7455671542841323,12.66738179675795,91.92803128610244,3.7535125588264884,9.705065886249631,5.641751396765352,4.947836069366436,30.425276008530776,31.471501844615222,4.857920189656783,7.133631695997545,67.60778644272028,67.93493455236514,293.36402545829634,271.4134387466846,223.62416548971342
